Date,Tweet_id,Verified,Tweet,User,Location,Source,Likes,Followers,Following,Retweets
2020-11-21 20:46:00,1330251135064674304,False,"@anand_mishra98 @PandaJay What after Naveen Patnaik? How long will he continue?
Age must also support him. Energy is needed to run a state.",GharWapasi_,Banaras,Twitter for Android,1,5301,1098,0
2020-11-21 19:34:52,1330233236069474306,False,"Naveen Patnaik writes to Hemant Soren for early completion of Ichha dam 
https://t.co/vwTfwUnLXd",SanjDeep7,New Delhi-Daman ,LinkedIn,0,575,8,0
2020-11-21 19:33:33,1330232905885507585,False,"Naveen Patnaik writes to Hemant Soren for early completion of Ichha dam 
https://t.co/203j0Csx5I",TheGlobalRealty,"New Delhi, India",Twitter Web App,0,96,48,0
2020-11-21 19:22:30,1330230124147593216,False,Naveen Patnaik writes to Hemant Soren for early completion of Ichha dam https://t.co/bhFZIvaZIZ,SanjDeep7,New Delhi-Daman ,LinkedIn,0,575,8,0
2020-11-21 19:21:31,1330229874284498945,False,"Naveen Patnaik writes to Hemant Soren for early completion of Ichha dam 
https://t.co/PRUiNHAHn7",NPM_Magazine,India,Twitter Web App,0,55,220,0
2020-11-21 18:27:54,1330216380688453634,False,"OTV MD Jagi Mangat Panda seeks probe by a national agency on charges against the channel, alleges harassment with false cases by BJD govt https://t.co/lwLNBjYjkb via @OpIndia_com",atr_sumana,"Bhopal, India",Twitter Web App,0,82,349,0
2020-11-21 18:26:13,1330215959504818181,False,Naveen Patnaik seeks Hemant Soren’s cooperation for early completion of Ichha dam https://t.co/t0kFTxyCF8 via @timesofindia,SujitBisoyiTOI,Bhubaneswar/Berhampur,Twitter Web App,5,6232,650,1
2020-11-21 18:25:24,1330215754365546507,False,Naveen Patnaik launches 11 online services of MSME Department under 5T initiative https://t.co/SmtRq2RvBF,dev_discourse,National Capital Region,Devdiscourse News Desk,1,84644,690,0
2020-11-21 18:09:28,1330211742392180740,False,@ARanganathan72 @otvnews @JagiPanda @IndEditorsGuild Preposterous. Can Naveen Patnaik fall so low after fabricating his visits to flood affected areas. Shzneful and disgusting.,Kalhan76012291,California. ,Twitter for Android,2,150,287,0
2020-11-21 18:05:16,1330210688090984449,False,@ARanganathan72 @otvnews @JagiPanda Every sim has an end which Naveen patnaik and BJD must be going through. 20 yrs ruling on name of father which is 1/3 of human lifetime . No development even connecting roads are not there within Bhubaneswar city( damuna to gadakana which are core inside the cost nt outskirts),SwainBighneswar,"Florida, USA",Twitter for iPhone,7,70,1516,0
2020-11-21 17:57:40,1330208773386940420,False,@CMO_Odisha  Sarpanch Ms Pilluku Guntha urged urgently CM Naveen Patnaik to have a dialogue with ap chief minister https://t.co/mVX8OyQ6iH,Bidyachoudhury,"Koraput, India",Twitter for Android,0,206,434,0
2020-11-21 17:46:23,1330205934598184960,False,@Gss_Views @PrashantKishor @ysjagan @Naveen_Odisha That's cent percent fact . They ain't  predictable  specially Naveen Patnaik lol,Shyam1714,"Gurgaon, India",Twitter for Android,1,113,364,0
2020-11-21 17:20:19,1330199373301551106,False,"@JagiPanda @sardesairajdeep @vikramchandra @ARanganathan72 @ShekharGupta @soniandtv @sagarikaghose @aroonpurie @pratyasharath @UnSubtleDesi @rahulroushan @TimesNow @g_smita @thewire_in @AartiTikoo @chitraSD You have chosen the most hypocrite media personalities you could ever put your faith on. Wish you good luck if you think they'd raise their voice against Naveen Patnaik govt.
Lutyens cabal.",bagguji,India,Twitter for Android,8,465,1625,0
2020-11-21 17:17:44,1330198723629027330,False,"OTV MD Jagi Mangat Panda seeks probe by a national agency on charges against the channel, alleges harassment with false cases by BJD govt https://t.co/UAIBhIGqX5 via @OpIndia_com",chandana7,,Twitter Web App,0,74,399,0
2020-11-21 17:06:40,1330195939324289026,False,Odisha CM Naveen Patnaik launched 11 new online services of MSME Department developed under 5T initiative #Odisha #Bhubaneswar  https://t.co/CivQn24K6e,Kalingatv,"Odisha, India",Twitter Web App,17,90102,179,1
2020-11-21 17:03:31,1330195145434800137,False,"The BJD’s resounding victory drives home the point that when regional parties define the narrative of politics based on local issues of people, the BJP’s polarising politics and narrative stand exposed and are proven to be hollow.  

https://t.co/PDkSK8lBX9 via @thewire_in",ppratishruti,New Delhi,Twitter Web App,11,480,585,0
2020-11-21 16:49:51,1330191708299124737,False,Deciphering BJD's Latest Win in a String of Resounding and Uninterrupted Successes. https://t.co/A1tcrArxUu,Swagatsarangi07,"Balangir, India",Twitter for Android,2,148,601,0
2020-11-21 16:34:17,1330187788847812611,True,Deciphering BJD's Latest Win in a String of Resounding and Uninterrupted Successes https://t.co/hWZU0fLfuO via @thewire_in,svaradarajan,"New Delhi, India",Twitter Web App,65,607465,1127,10
2020-11-21 16:05:09,1330180457833574409,False,I thought Naveen Patnaik was good allowing conversions and enjoying his CM privileges. When did he convert to penguins? https://t.co/dImgxtpxxn,ClearThoughts9,,Twitter for iPhone,1,15,123,0
2020-11-21 16:00:00,1330179161135091712,True,"OTV MD Jagi Mangat Panda seeks probe by a national agency on charges against the channel, alleges harassment with false cases by BJD govt

https://t.co/Rs8SrnXR8B",OpIndia_com,New Delhi,TweetDeck,1128,488370,127,285
2020-11-21 15:59:59,1330179157058351107,False,Odisha CM Naveen Patnaik launched 11 Online Services of MSME Department https://t.co/pfKlH6wRa6,OdishaDiary,Bhubaneswar,WordPress.com,0,23048,571,0
2020-11-21 15:20:12,1330169146819174400,True,Naveen Patnaik seeks Hemant Soren’s cooperation for early completion of Ichha dam https://t.co/BzqROJuLpc,TOICitiesNews,,cmssocialservice,1,21583,96,1
2020-11-21 14:11:50,1330151941201125378,False,@artofgiving_net It's absolutely a great initiative by our government under the able leadership of Sj. Naveen Patnaik sir. @artofgiving_net,BinayPrasadDas3,"Cuttack, Odisha, India",Twitter for Android,1,27,274,0
2020-11-21 13:27:53,1330140880251072521,True,"Hon'ble CM Sri @Naveen_Odisha has requested Hon'ble @JharkhandCMO Sri Hemant Soren for early completion of the Iccha Dam which is being constructed on the Kharkai river, Jharkhand. CM Sri Patnaik expressed that early completion of the Dam will help the farmers of both the States. https://t.co/QJ23BE41RJ",IPR_Odisha,Bhubaneswar,Twitter for Android,135,274107,87,4
2020-11-21 13:08:17,1330135949444079618,True,"Targeted Because of CM Naveen Patnaik’s Personal Vendetta: #OTV MD

 https://t.co/9jh0XU0yuj",otvnews,"Bhubaneswar, India",Twitter Web App,77,595535,276,4
